i,Ortho_ID,Name,sum,p_fisher,or,P_pagel,P_pagel_adj,repair
148247,2528496at33208,FA complementation group A,29,1.31647673846049e-21,147.287547408158,2.65522008995325e-05,0.00237642198050816,TRUE
270301,5400084at2759,FA complementation group A,29,1.31647673846049e-21,147.287547408158,2.65522008995325e-05,0.00237642198050816,TRUE
70807,156401at33208,"NSE1 homolog, SMC5-SMC6 complex component",26,7.14717469609998e-20,137.50728401179,6.61170213521774e-05,0.00242079353534456,TRUE
255384,4844at2759,"NSE1 homolog, SMC5-SMC6 complex component",26,7.14717469609998e-20,137.50728401179,6.61170213521774e-05,0.00242079353534456,TRUE
233420,42409at33208,F-box and leucine rich repeat protein 5,31,2.02653542941457e-24,233.194399572744,9.40056379711259e-05,0.00242079353534456,FALSE
48916,1364175at2759,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",50,7.61073631342837e-23,Inf,9.46679036168263e-05,0.00242079353534456,TRUE
374055,9692at33208,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",50,7.61073631342837e-23,Inf,9.46679036168263e-05,0.00242079353534456,TRUE
171548,2913997at2759,F-box and leucine rich repeat protein 5,33,6.79082560016835e-23,156.91382535597,0.000129669738356291,0.00290136039572202,FALSE
170594,2904726at2759,F-box and leucine rich repeat protein 17,25,5.94840393013995e-15,53.2113040711946,0.000317485913046703,0.00568299784353598,FALSE
199742,33138at33208,F-box and leucine rich repeat protein 17,25,5.94840393013995e-15,53.2113040711946,0.000317485913046703,0.00568299784353598,FALSE
135062,2319236at33208,F-box protein 31,24,1.51747664021873e-24,Inf,0.000508460943921124,0.00758454241349011,FALSE
263962,5190824at2759,F-box protein 31,24,1.51747664021873e-24,Inf,0.000508460943921124,0.00758454241349011,FALSE
170765,2906428at2759,FA core complex associated protein 24,27,3.91823109853502e-21,162.583724592956,0.00073559666792052,0.0091808816471414,TRUE
208611,34840at33208,FA core complex associated protein 24,27,3.91823109853502e-21,162.583724592956,0.00073559666792052,0.0091808816471414,TRUE
82494,163312at33208,scaffold protein involved in DNA repair,30,4.6139193567684e-17,59.0313607459433,0.000859861096240705,0.0091808816471414,TRUE
180815,3034900at2759,scaffold protein involved in DNA repair,30,4.6139193567684e-17,59.0313607459433,0.000859861096240705,0.0091808816471414,TRUE
