Organism MutS Tudor_domain Tudor_dist PWWP_domain PWWP_dist Tudor_call PWWP_call
"Talaromyces amestolkiae" 2 0 Inf 0 228860 Absent Absent
"Polistes fuscatus" 2 0 Inf 0 639778 Absent Absent
"Exophiala mesophila" 3 0 1619424 0 335318 Absent Absent
"Cladophialophora immunda" 5 0 Inf 0 Inf Absent Absent
"Styela clava" 2 0 Inf 4 252 Absent Present
"Prosopis cineraria" 3 6 0 0 1392668 Present Absent
"Protomyces lactucae-debilis" 2 0 Inf 0 Inf Absent Absent
"[Candida] pseudohaemulonii" 2 0 Inf 0 Inf Absent Absent
"Trichoderma gamsii" 3 0 Inf 0 Inf Absent Absent
"Aspergillus viridinutans" 2 0 Inf 0 986465 Absent Absent
"Paraphaeosphaeria sporulosa" 2 0 Inf 0 635784 Absent Absent
"Verruconis gallopava" 4 0 288516 0 393228 Absent Absent
"Hyaena hyaena" 1 0 Inf 2 11218 Absent Present
"Cryptosporidium ubiquitum" 2 0 13059 0 Inf Absent Absent
"Daldinia caldariorum" 2 0 Inf 0 Inf Absent Absent
"Apis laboriosa" 1 0 Inf 0 Inf Absent Absent
"Phoca vitulina" 2 0 Inf 4 0 Absent Present
"Hylobates moloch" 4 0 Inf 6 0 Absent Present
"Echinops telfairi" 1 0 Inf 2 7586 Absent Present
"Anneissia japonica" 1 0 Inf 2 20160 Absent Present
"Amyelois transitella" 2 0 Inf 0 Inf Absent Absent
"Phalacrocorax carbo" 3 0 Inf 6 0 Absent Present
"Myotis davidii" 1 0 Inf 2 13282 Absent Present
"Trachymyrmex septentrionalis" 3 0 Inf 0 Inf Absent Absent
"Gavialis gangeticus" 1 0 Inf 0 37986 Absent Absent
"Gregarina niphandrodes" 2 0 109142 0 Inf Absent Absent
"Neolamprologus brichardi" 2 0 Inf 4 0 Absent Present
"Saccoglossus kowalevskii" 1 0 Inf 2 4094 Absent Present
"Fonticula alba" 1 0 898923 0 897487 Absent Absent
"Pteronotus parnellii mesoamericanus" 3 0 Inf 6 47 Absent Present
"Osmia lignaria" 1 0 Inf 0 2461904 Absent Absent
"Aspergillus ochraceoroseus IBT 24754" 1 0 1029040 0 215686 Absent Absent
"Cadophora gregata" 1 0 866162 0 Inf Absent Absent
"Hyaloscypha bicolor E" 1 0 Inf 0 Inf Absent Absent
"Aspergillus wentii DTO 134E9" 1 0 1549471 0 1415570 Absent Absent
"Coniosporium apollinis CBS 100218" 1 0 Inf 0 Inf Absent Absent
"Phaeoacremonium minimum UCRPA7" 1 0 Inf 0 Inf Absent Absent
"Aspergillus ruber CBS 135680" 1 0 897575 0 352240 Absent Absent
"Trichophyton verrucosum HKI 0517" 1 0 Inf 0 64130 Absent Absent
"Marmota marmota marmota" 2 0 Inf 4 209 Absent Present
"Phanerochaete carnosa HHB-10118-sp" 1 0 Inf 0 Inf Absent Absent
"Gloeophyllum trabeum ATCC 11539" 1 0 Inf 0 1036249 Absent Absent
"Saprolegnia parasitica CBS 223.65" 1 0 Inf 0 Inf Absent Absent
"Entamoeba nuttalli P19" 1 0 Inf 0 Inf Absent Absent
"Blastomyces gilchristii SLH14081" 1 0 Inf 0 3459728 Absent Absent
"Uncinocarpus reesii 1704" 2 0 205881 0 Inf Absent Absent
"Panthera pardus" 3 0 Inf 6 0 Absent Present
"Myiozetetes cayanensis" 1 0 Inf 2 24 Absent Present
"Abrus precatorius" 1 2 8834 0 1392841 Present Absent
"Syzygium oleosum" 1 2 300 0 1082292 Present Absent
"Condylostylus longicornis" 1 0 Inf 0 Inf Absent Absent
"Adelges cooleyi" 1 0 Inf 0 2046908 Absent Absent
"Arthroderma uncinatum" 2 0 14312 0 484096 Absent Absent
"Fusarium flagelliforme" 3 0 Inf 0 970032 Absent Absent
"Oppia nitens" 1 0 Inf 2 4492 Absent Present
"Penicillium canescens" 8 0 927697 0 118605 Absent Absent
"Truncatella angustata" 3 0 Inf 0 1434778 Absent Absent
"Hypoxylon fragiforme" 2 0 889591 0 1278928 Absent Absent
"Sporothrix brasiliensis 5110" 2 0 690758 0 Inf Absent Absent
"Microdochium trichocladiopsis" 2 0 Inf 0 Inf Absent Absent
"Bombus vancouverensis nearcticus" 1 0 Inf 0 Inf Absent Absent
"Diaporthe batatas" 2 0 1582806 0 Inf Absent Absent
"Rhinichthys klamathensis goyatoka" 1 0 Inf 2 17351 Absent Present
"Talpa occidentalis" 1 0 Inf 2 11910 Absent Present
"Talaromyces proteolyticus" 2 0 415974 0 745184 Absent Absent
"Wickerhamiella sorbophila" 2 0 1064811 0 1018523 Absent Absent
"Botrytis fragariae" 2 0 Inf 0 240147 Absent Absent
"Bombus bifarius" 1 0 Inf 0 Inf Absent Absent
"Sturnira hondurensis" 2 0 Inf 4 0 Absent Present
"Crotalus tigris" 5 0 Inf 4 0 Absent Present
"Letharia lupina" 2 0 Inf 0 Inf Absent Absent
"Babesia ovata" 2 0 Inf 0 370795 Absent Absent
"Mycotypha africana" 2 0 745305 0 Inf Absent Absent
"Bacidia gigantensis" 2 0 36871 0 215083 Absent Absent
"Lipomyces tetrasporus" 2 0 Inf 0 469161 Absent Absent
"Aspergillus campestris IBT 28561" 2 0 Inf 0 Inf Absent Absent
"Dendronephthya gigantea" 1 0 Inf 0 850657 Absent Absent
"Cyprinodon tularosa" 1 0 Inf 2 14247 Absent Present
"Daldinia childiae" 2 0 Inf 0 Inf Absent Absent
"Heterostelium album PN500" 2 0 Inf 0 782493 Absent Absent
"Haliotis rubra" 1 0 Inf 2 18254 Absent Present
"Chelonus insularis" 1 0 Inf 0 21506 Absent Absent
"Xenia sp. Carnegie-2017" 1 0 Inf 0 3339358 Absent Absent
"Colletotrichum spaethianum" 2 0 171300 0 Inf Absent Absent
"Kockovaella imperatae" 2 0 Inf 0 Inf Absent Absent
"Paramacrobiotus metropolitanus" 1 0 Inf 0 Inf Absent Absent
"Halichoerus grypus" 1 0 Inf 2 11564 Absent Present
"Tricharina praecox" 2 0 1266446 0 1090010 Absent Absent
"Onychostruthus taczanowskii" 1 0 Inf 2 12447 Absent Present
"Lontra canadensis" 2 0 Inf 2 0 Absent Present
"Suillus subaureus" 2 0 Inf 0 Inf Absent Absent
"Letharia columbiana" 4 0 Inf 0 Inf Absent Absent
"Pyrgilauda ruficollis" 1 0 Inf 2 12464 Absent Present
"Solanum verrucosum" 1 2 9384 0 Inf Present Absent
"Cucurbitaria berberidis CBS 394.84" 2 0 2423048 0 Inf Absent Absent
"Pisolithus orientalis" 2 0 828102 0 303846 Absent Absent
"Annulohypoxylon truncatum" 2 0 Inf 0 Inf Absent Absent
"Cantharellus anzutake" 2 0 Inf 0 683039 Absent Absent
"Trichogramma pretiosum" 2 0 Inf 0 248662 Absent Absent
"Suillus plorans" 2 0 Inf 0 Inf Absent Absent
"Scheffersomyces spartinae" 2 0 Inf 0 Inf Absent Absent
"Fonsecaea multimorphosa CBS 102226" 2 0 Inf 0 Inf Absent Absent
"Daldinia decipiens" 2 0 Inf 0 Inf Absent Absent
"Suillus discolor" 2 0 Inf 0 Inf Absent Absent
"Globicephala melas" 2 0 Inf 4 0 Absent Present
"Suillus bovinus" 2 0 Inf 0 Inf Absent Absent
"Daldinia loculata" 3 0 Inf 0 543521 Absent Absent
"Emericellopsis cladophorae" 2 0 Inf 0 Inf Absent Absent
"Epithele typhae" 2 0 Inf 0 Inf Absent Absent
"Suillus paluster" 2 0 Inf 0 Inf Absent Absent
"Naegleria lovaniensis" 2 0 Inf 0 Inf Absent Absent
"Aspergillus candidus" 2 0 Inf 0 Inf Absent Absent
"Colletotrichum orchidophilum" 2 0 Inf 0 Inf Absent Absent
"Xylaria bambusicola" 2 0 Inf 0 Inf Absent Absent
"Capronia epimyces CBS 606.96" 2 0 Inf 0 102574 Absent Absent
"Aspergillus saccharolyticus JOP 1030-1" 2 0 Inf 0 Inf Absent Absent
"Pteropus giganteus" 2 0 Inf 2 0 Absent Present
"Vanessa tameamea" 1 0 Inf 0 Inf Absent Absent
"Metarhizium album ARSEF 1941" 2 0 Inf 0 Inf Absent Absent
"Ordospora colligata OC4" 2 0 Inf 0 Inf Absent Absent
"Coniophora puteana RWD-64-598 SS2" 2 0 Inf 0 Inf Absent Absent
"Tilletiopsis washingtonensis" 2 0 Inf 0 Inf Absent Absent
"Suillus subalutaceus" 2 0 Inf 0 Inf Absent Absent
"Guyanagaster necrorhizus MCA 3950" 2 0 Inf 0 Inf Absent Absent
"Neoantrodia serialis" 2 0 Inf 0 Inf Absent Absent
"Dufourea novaeangliae" 2 0 Inf 0 Inf Absent Absent
"Acytostelium subglobosum LB1" 2 0 Inf 0 Inf Absent Absent
"Ascoidea rubescens DSM 1968" 2 0 Inf 0 145068 Absent Absent
"Hylaeus anthracinus" 2 0 Inf 0 Inf Absent Absent
"Callorhinus ursinus" 2 0 Inf 4 0 Absent Present
"Apteryx rowi" 4 0 Inf 8 0 Absent Present
"Puma yagouaroundi" 1 0 Inf 2 11521 Absent Present
"Contarinia nasturtii" 1 0 Inf 0 1772425 Absent Absent
"Aspergillus thermomutatus" 2 0 Inf 0 Inf Absent Absent
"Geosmithia morbida" 2 0 Inf 0 185517 Absent Absent
"Tribolium madens" 1 0 Inf 0 Inf Absent Absent
"Terrapene carolina triunguis" 3 0 Inf 6 0 Absent Present
"Cyphomyrmex costatus" 1 0 Inf 0 Inf Absent Absent
"Cryptotermes secundus" 2 0 Inf 4 0 Absent Present
"Vavraia culicis subsp. floridensis" 2 0 Inf 0 Inf Absent Absent
"Trachymyrmex zeteki" 2 0 Inf 0 Inf Absent Absent
"Grammomys surdaster" 1 0 Inf 2 24 Absent Present
"Condylura cristata" 3 0 Inf 6 0 Absent Present
"Herrania umbratica" 1 2 285 0 1501681 Present Absent
"Diachasma alloeum" 2 0 Inf 0 Inf Absent Absent
"Stegastes partitus" 2 0 Inf 4 0 Absent Present
"Anarrhichthys ocellatus" 2 0 Inf 4 0 Absent Present
"Pseudozyma flocculosa PF-1" 2 0 Inf 0 Inf Absent Absent
"Eufriesea mexicana" 2 0 Inf 0 Inf Absent Absent
"Temnothorax curvispinosus" 2 0 Inf 0 Inf Absent Absent
"Colobus angolensis palliatus" 2 0 Inf 0 16635 Absent Absent
"Paramormyrops kingsleyae" 1 0 Inf 2 6624 Absent Present
"Plasmodium inui San Antonio 1" 2 0 Inf 0 Inf Absent Absent
"Nicotiana tomentosiformis" 1 2 279 0 Inf Present Absent
"Vollenhovia emeryi" 2 0 Inf 0 Inf Absent Absent
"Lipotes vexillifer" 2 0 Inf 2 0 Absent Present
"Notechis scutatus" 3 0 Inf 4 0 Absent Present
"Saprolegnia diclina VS20" 2 0 Inf 0 Inf Absent Absent
"Miniopterus natalensis" 1 0 Inf 2 12881 Absent Present
"Trachymyrmex cornetzi" 2 0 Inf 0 Inf Absent Absent
"Sinocyclocheilus grahami" 3 0 Inf 6 0 Absent Present
"Nomia melanderi" 2 0 Inf 0 Inf Absent Absent
"Histoplasma mississippiense (nom. inval.)" 2 0 Inf 0 Inf Absent Absent
"Drosophila navojoa" 2 0 Inf 0 Inf Absent Absent
"Elephantulus edwardii" 3 0 Inf 2 0 Absent Present
"Myotis brandtii" 3 0 Inf 6 0 Absent Present
"Habropoda laboriosa" 2 0 Inf 0 Inf Absent Absent
"Chrysochloris asiatica" 2 0 Inf 2 0 Absent Present
"Rhagoletis zephyria" 2 0 Inf 0 Inf Absent Absent
"Trypanosoma theileri" 2 0 382180 0 Inf Absent Absent
"Orycteropus afer afer" 5 0 Inf 4 0 Absent Present
"Atta colombica" 2 0 Inf 0 Inf Absent Absent
"Verticillium alfalfae VaMs.102" 2 0 Inf 0 104621 Absent Absent
"Atta cephalotes" 1 0 Inf 0 Inf Absent Absent
"Trypanosoma grayi" 2 0 Inf 0 Inf Absent Absent
"Thecamonas trahens ATCC 50062" 2 0 89601 0 168683 Absent Absent
"Trypanosoma rangeli" 2 0 Inf 0 Inf Absent Absent
"Sorex cinereus" 1 0 Inf 2 9166 Absent Present
"Penicillium crustosum" 3 0 Inf 0 6587433 Absent Absent
"Penicillium concentricum" 2 0 527092 0 221078 Absent Absent
"Penicillium vulpinum" 2 0 26780 0 1635358 Absent Absent
"Penicillium mononematosum" 2 0 449476 0 1563623 Absent Absent
"Scaptodrosophila lebanonensis" 1 0 Inf 0 Inf Absent Absent
"Penicillium psychrosexuale" 2 0 468998 0 4600427 Absent Absent
"Penicillium paradoxum" 2 0 714407 0 18097 Absent Absent
"Colletotrichum aenigma" 2 0 1103342 0 3870843 Absent Absent
"Mycena indigotica" 2 0 Inf 0 Inf Absent Absent
"Penicillium hordei" 2 0 566581 0 3485796 Absent Absent
"Penicillium argentinense" 2 0 572085 0 515355 Absent Absent
"Penicillium taxi" 2 0 665215 0 Inf Absent Absent
"Penicillium odoratum" 2 0 1266818 0 Inf Absent Absent
"Penicillium waksmanii" 2 0 200411 0 Inf Absent Absent
"Penicillium canariense" 2 0 90921 0 1969141 Absent Absent
"Penicillium nucicola" 2 0 Inf 0 Inf Absent Absent
"Penicillium daleae" 2 0 1131716 0 452539 Absent Absent
"Penicillium longicatenatum" 3 0 543060 0 683358 Absent Absent
"Didymosphaeria variabile" 2 0 Inf 0 1850911 Absent Absent
"Penicillium cataractarum" 2 0 629511 0 1531365 Absent Absent
"Penicillium pulvis" 2 0 605381 0 Inf Absent Absent
"Penicillium cosmopolitanum" 2 0 183214 0 Inf Absent Absent
"Penicillium coprophilum" 3 0 406620 0 616391 Absent Absent
"Penicillium manginii" 2 0 76061 0 Inf Absent Absent
"Penicillium chermesinum" 3 0 Inf 0 38427 Absent Absent
"Penicillium soppii" 2 0 115238 0 Inf Absent Absent
"Penicillium macrosclerotiorum" 2 0 Inf 0 615360 Absent Absent
"Penicillium atrosanguineum" 5 0 752914 0 339970 Absent Absent
"Penicillium antarcticum" 3 0 Inf 0 Inf Absent Absent
"Penicillium hispanicum" 2 0 551992 0 Inf Absent Absent
"Penicillium lagena" 2 0 Inf 0 1352402 Absent Absent
"Penicillium maclennaniae" 2 0 689783 0 419501 Absent Absent
"Penicillium verhagenii" 3 0 1194552 0 139671 Absent Absent
"Penicillium riverlandense" 2 0 97547 0 Inf Absent Absent
"Penicillium diatomitis" 2 0 Inf 0 Inf Absent Absent
"Penicillium bovifimosum" 2 0 520804 0 Inf Absent Absent
"Penicillium alfredii" 2 0 465539 0 147687 Absent Absent
"Simochromis diagramma" 2 0 Inf 4 0 Absent Present
"Fonsecaea erecta" 2 0 Inf 0 Inf Absent Absent
"Botrytis deweyae" 2 0 Inf 0 Inf Absent Absent
"Ogataea haglerorum" 23 0 67524 0 497295 Absent Absent
"Colletotrichum karsti" 2 0 Inf 0 Inf Absent Absent
"Drosophila guanche" 2 0 Inf 0 4691415 Absent Absent
"Colletotrichum chrysophilum" 4 0 Inf 0 Inf Absent Absent
"Kazachstania barnettii" 3 0 Inf 0 272536 Absent Absent
"Fusarium coffeatum" 2 0 Inf 0 Inf Absent Absent
"Sipha flava" 1 0 Inf 0 Inf Absent Absent
"Vombatus ursinus" 1 0 Inf 2 13374 Absent Present
"Pseudonaja textilis" 2 0 Inf 4 0 Absent Present
"Hippocampus comes" 1 0 Inf 2 5497 Absent Present
"Fibroporia radiculosa" 2 0 Inf 0 Inf Absent Absent
"Pseudomyrmex gracilis" 1 0 Inf 0 Inf Absent Absent
"Plasmodium fragile" 2 0 Inf 0 Inf Absent Absent
"Sinocyclocheilus rhinocerous" 2 0 Inf 4 0 Absent Present
"Sinocyclocheilus anshuiensis" 3 0 Inf 4 0 Absent Present
"Trypanosoma conorhini" 2 0 Inf 0 Inf Absent Absent
"Mercurialis annua" 1 2 282 0 2393024 Present Absent
"Plasmodium chabaudi chabaudi" 4 0 Inf 0 Inf Absent Absent
"Cryptococcus neoformans var. grubii H99" 2 0 Inf 0 Inf Absent Absent
"Trypanosoma brucei gambiense DAL972" 2 0 71263 0 1239373 Absent Absent
"Cryptococcus neoformans var. neoformans B-3501A" 2 0 720964 0 Inf Absent Absent
"Ochotona princeps" 6 0 Inf 4 0 Absent Present
"Saccharomyces arboricola H-6" 1 0 Inf 0 106944 Absent Absent
"Aspergillus niger CBS 101883" 2 0 Inf 0 Inf Absent Absent
"Agaricus bisporus var. burnettii JB137-S8" 2 0 111410 0 Inf Absent Absent
"Neofusicoccum parvum UCRNP2" 2 0 Inf 0 Inf Absent Absent
"Moniliophthora roreri MCA 2997" 2 0 Inf 0 Inf Absent Absent
"Candida viswanathii" 4 0 Inf 0 144589 Absent Absent
"Dactylellina haptotyla CBS 200.50" 2 0 Inf 0 106179 Absent Absent
"Eutypa lata UCREL1" 2 0 Inf 0 Inf Absent Absent
"Enterocytozoon bieneusi H348" 2 0 Inf 0 Inf Absent Absent
"Metarhizium majus ARSEF 297" 2 0 Inf 0 Inf Absent Absent
"Auricularia subglabra TFB-10046 SS5" 2 0 447514 0 Inf Absent Absent
"Brassica napus" 5 10 438 0 1956736 Present Absent
"Xenopus laevis" 2 0 Inf 4 17437 Absent Present
"Apis mellifera" 1 0 Inf 0 Inf Absent Absent
"Equus caballus" 1 0 Inf 2 19600 Absent Present
"Oncorhynchus mykiss" 2 0 Inf 4 2365 Absent Present
"Oryctolagus cuniculus" 2 0 Inf 4 0 Absent Present
"Macaca fascicularis" 4 0 Inf 8 0 Absent Present
"Medicago truncatula" 4 8 0 0 1833297 Present Absent
"Malus domestica" 8 4 342 0 1787006 Present Absent
"Salmo salar" 1 0 Inf 2 2293 Absent Present
"Oryzias latipes" 2 0 Inf 4 0 Absent Present
"Capsicum annuum" 4 8 270 0 Inf Present Absent
"Anas platyrhynchos" 2 0 Inf 4 39 Absent Present
"Spodoptera frugiperda" 3 0 Inf 0 Inf Absent Absent
"Daphnia magna" 3 0 Inf 6 0 Absent Present
"Callithrix jacchus" 2 0 Inf 2 15915 Absent Present
"Cyprinus carpio" 5 0 Inf 6 1399 Absent Present
"Taeniopygia guttata" 3 0 Inf 4 0 Absent Present
"Beta vulgaris subsp. vulgaris" 4 6 8409 0 1839819 Present Absent
"Drosophila simulans" 3 0 1332462 0 4632412 Absent Absent
"Ziziphus jujuba" 1 2 291 0 646717 Present Absent
"Pan troglodytes" 9 0 Inf 14 0 Absent Present
"Scophthalmus maximus" 4 0 Inf 8 406 Absent Present
"Chelonia mydas" 2 0 Inf 2 30036 Absent Present
"Aquila chrysaetos canadensis" 2 0 Inf 4 0 Absent Present
"Ursus arctos horribilis" 3 0 Inf 6 0 Absent Present
"Postia placenta Mad-698-R" 4 0 Inf 0 Inf Absent Absent
"Drosophila sechellia" 2 0 Inf 0 Inf Absent Absent
"Scleropages formosus" 2 0 Inf 4 2285 Absent Present
"Caenorhabditis remanei" 3 0 3775339 0 1244697 Absent Absent
"Monomorium pharaonis" 7 0 Inf 0 7193261 Absent Absent
"Pseudogymnoascus destructans 20631-21" 4 0 Inf 0 Inf Absent Absent
"Ostrea edulis" 2 0 Inf 4 3945 Absent Present
"Amphiprion ocellaris" 2 0 Inf 4 0 Absent Present
"Acinonyx jubatus" 3 0 Inf 6 0 Absent Present
"Manis pentadactyla" 2 0 Inf 4 7973 Absent Present
"Desmodus rotundus" 1 0 Inf 2 10950 Absent Present
"Boleophthalmus pectinirostris" 2 0 Inf 4 25 Absent Present
"Acanthochromis polyacanthus" 2 0 Inf 4 0 Absent Present
"Vairimorpha ceranae BRL01" 2 0 Inf 0 Inf Absent Absent
"Tetradesmus obliquus" 2 4 10882 0 4631971 Present Absent
"Angomonas deanei" 3 0 Inf 0 Inf Absent Absent
"Pyrrhoderma noxium" 1 0 Inf 0 Inf Absent Absent
"Chloropicon primus" 4 4 3338 0 231255 Present Absent
"Pleurotus cornucopiae" 1 0 321986 0 Inf Absent Absent
"Fusarium solani-melongenae" 1 0 2147935 0 2044710 Absent Absent
"Metschnikowia aff. pulcherrima" 1 0 1016267 0 65935 Absent Absent
"Venturia effusa" 1 0 915038 0 Inf Absent Absent
"Malassezia furfur" 5 0 153365 0 14505 Absent Absent
"Zygosaccharomyces parabailii" 2 0 Inf 0 156622 Absent Absent
"Fusarium culmorum" 2 0 Inf 0 3683217 Absent Absent
"Trichoderma simmonsii" 1 0 2365271 0 Inf Absent Absent
"Peltaster fructicola" 1 0 884971 0 Inf Absent Absent
"Pneumocystis wakefieldiae" 1 0 Inf 0 Inf Absent Absent
"Trichoderma semiorbis" 1 0 194886 0 535438 Absent Absent
"Ceratobasidium sp. AG-Ba" 3 0 Inf 0 305555 Absent Absent
"Septoria linicola" 2 0 48083 0 3701201 Absent Absent
"[Ashbya] aceris (nom. inval.)" 1 0 Inf 0 Inf Absent Absent
"Malassezia equina" 1 0 560556 0 191838 Absent Absent
"Torulaspora sp. CBS 2947" 1 0 382858 0 Inf Absent Absent
"Triticum turgidum subsp. durum" 7 4 0 0 Inf Present Absent
"Saccharomyces pastorianus" 2 0 Inf 0 Inf Absent Absent
"Trifolium repens" 2 4 7712 0 1724727 Present Absent
"Arabidopsis arenosa" 1 2 6668 0 6974038 Present Absent
"Spodoptera littoralis" 1 0 Inf 0 Inf Absent Absent
"Nippostrongylus brasiliensis" 2 0 Inf 0 1990120 Absent Absent
"Adineta vaga" 1 0 Inf 0 4713179 Absent Absent
"Sarcoptes scabiei" 3 0 1568746 4 400 Absent Present
"Cryptococcus gattii VGII R265" 1 0 550763 0 687433 Absent Absent
"Euphorbia peplus" 1 2 7577 0 807234 Present Absent
"Peronospora effusa" 4 0 842907 0 Inf Absent Absent
"Caligus rogercresseyi" 2 0 Inf 0 16519096 Absent Absent
"Musa troglodytarum" 3 6 0 0 55926044 Present Absent
"[Candida] intermedia" 2 0 Inf 0 Inf Absent Absent
"Brassicogethes aeneus" 1 0 14062157 0 Inf Absent Absent
"Monilinia vaccinii-corymbosi" 1 0 1756707 0 1104003 Absent Absent
"Coregonus sp. 'balchen'" 2 0 Inf 2 2360 Absent Present
"Plasmodium sp. DRC-Itaito" 1 0 Inf 0 Inf Absent Absent
"Lactuca saligna" 2 0 23368020 0 20504529 Absent Absent
"Lachancea dasiensis" 1 0 Inf 0 438864 Absent Absent
"Lachancea nothofagi CBS 11611" 1 0 Inf 0 Inf Absent Absent
"Lachancea meyersii CBS 8951" 1 0 Inf 0 128621 Absent Absent
"Sorghum bicolor" 2 4 291 0 16415845 Present Absent
"Chlamydomonas reinhardtii" 1 0 Inf 0 Inf Absent Absent
"Cucumis sativus" 1 2 8320 0 856094 Present Absent
"Aspergillus fumigatus Af293" 1 0 834973 0 Inf Absent Absent
"Toxoplasma gondii ME49" 1 0 1699695 0 318831 Absent Absent
"Prunus persica" 4 6 0 0 1196334 Present Absent
"Neurospora crassa OR74A" 1 0 Inf 0 Inf Absent Absent
"Phaseolus vulgaris" 1 2 8211 0 7365927 Present Absent
"Pyricularia oryzae 70-15" 1 0 Inf 0 Inf Absent Absent
"Trypanosoma brucei brucei TREU927" 1 0 Inf 0 1232106 Absent Absent
"Xenopus tropicalis" 4 0 Inf 8 0 Absent Present
"Fusarium graminearum PH-1" 1 0 Inf 0 3456712 Absent Absent
"Anopheles gambiae str. PEST" 1 0 18599878 0 3193265 Absent Absent
"Manihot esculenta" 2 4 466 0 Inf Present Absent
"Physcomitrium patens" 1 2 7643 0 8215815 Present Absent
"Ustilago maydis 521" 1 0 Inf 0 193775 Absent Absent
"Raphanus sativus" 1 2 7128 0 Inf Present Absent
"Plasmodium vivax" 3 0 Inf 0 Inf Absent Absent
"Ziziphus jujuba var. spinosa" 1 2 291 0 1555448 Present Absent
"Plasmodium berghei ANKA" 1 0 Inf 0 Inf Absent Absent
"Populus deltoides" 2 2 291 0 1892747 Present Absent
"Persea americana" 2 2 297 0 12041748 Present Absent
"Vicia faba" 1 2 264 0 Inf Present Absent
"Populus tomentosa" 4 6 282 0 1735430 Present Absent
"Mythimna separata" 1 0 Inf 0 Inf Absent Absent
"Zingiber officinale" 1 2 228 0 9170909 Present Absent
"Chilo suppressalis" 3 0 Inf 0 Inf Absent Absent
"Spodoptera exigua" 3 0 Inf 0 Inf Absent Absent
"Tegillarca granosa" 5 0 Inf 2 51558 Absent Present
"Monascus purpureus" 3 0 Inf 0 Inf Absent Absent
"Brassica carinata" 2 4 381 0 17052387 Present Absent
"Ceratopteris richardii" 5 2 0 0 30834762 Present Absent
"Haemaphysalis longicornis" 1 0 Inf 0 18867 Absent Absent
"Pleurodeles waltl" 1 0 Inf 2 134977 Absent Present
"Chironomus riparius" 1 0 Inf 0 14014617 Absent Absent
"Morella rubra" 1 2 312 0 5025159 Present Absent
"Vitis rotundifolia" 3 4 0 0 2143321 Present Absent
"Oikopleura dioica" 2 0 Inf 0 478916 Absent Absent
"Branchiostoma lanceolatum" 1 0 Inf 2 508 Absent Present
"Tigriopus californicus" 1 0 Inf 0 7965440 Absent Absent
"Theileria parva strain Muguga" 1 0 Inf 0 Inf Absent Absent
"Cichorium intybus" 1 2 5268 0 Inf Present Absent
"Lupinus albus" 2 2 195 0 986934 Present Absent
"Pristionchus pacificus" 1 0 Inf 0 3931479 Absent Absent
"Dioscorea alata" 3 6 0 0 7753657 Present Absent
"Steinernema carpocapsae" 1 0 1529120 0 4402740 Absent Absent
"Taxus chinensis" 1 0 48816 0 613469927 Absent Absent
"Dendrobium nobile" 1 0 84633 0 4690321 Absent Absent
"Nicotiana attenuata" 1 2 309 0 Inf Present Absent
"Scheffersomyces stipitis CBS 6054" 1 0 138063 0 700059 Absent Absent
"Plasmodium knowlesi strain H" 3 0 795802 0 138560 Absent Absent
"Leishmania braziliensis MHOM/BR/75/M2904" 2 0 Inf 0 Inf Absent Absent
"Rangifer tarandus platyrhyncus" 2 0 Inf 4 10246 Absent Present
"Musa balbisiana" 1 2 225 0 3396378 Present Absent
"Clonorchis sinensis" 3 0 99845478 0 6855465 Absent Absent
"Apolygus lucorum" 1 0 Inf 0 Inf Absent Absent
"Saccharomyces eubayanus" 3 0 Inf 0 69300 Absent Absent
"Cynara cardunculus var. scolymus" 1 2 225 0 9027945 Present Absent
"Colletotrichum higginsianum IMI 349063" 1 0 772873 0 466759 Absent Absent
"Fusarium pseudograminearum CS3096" 1 0 Inf 0 Inf Absent Absent
"Arctium lappa" 1 2 8898 0 769750 Present Absent
"Thlaspi arvense" 1 2 342 0 986480 Present Absent
"Paulownia fortunei" 1 2 276 0 Inf Present Absent
"Polypedilum vanderplanki" 1 0 214238 0 17790766 Absent Absent
"Coffea canephora" 1 2 9753 0 1187891 Present Absent
"Fraxinus pennsylvanica" 1 2 297 0 4165412 Present Absent
"Rhododendron molle" 5 2 8506 0 16253204 Present Absent
"Nezara viridula" 1 0 63329696 0 98365843 Absent Absent
"Arabidopsis suecica" 2 4 354 0 8108831 Present Absent
"Nibea albiflora" 1 0 Inf 2 5689 Absent Present
"Dendrobium chrysotoxum" 1 2 60788 0 5778282 Present Absent
"Ectocarpus siliculosus" 1 2 8228 0 Inf Present Absent
"Ovis ammon polii" 1 0 Inf 2 92736 Absent Present
"Blumeria graminis f. sp. triticale" 1 0 Inf 0 1385173 Absent Absent
"Holothuria leucospilota" 1 0 Inf 2 46968 Absent Present
"Juncus effusus" 1 2 5977 0 4424419 Present Absent
"Erysiphe necator" 2 0 Inf 0 6143918 Absent Absent
"Diatraea saccharalis" 1 0 Inf 0 Inf Absent Absent
"Chaenocephalus aceratus" 1 0 Inf 2 1129 Absent Present
"Dioscorea zingiberensis" 1 2 9761 0 4741326 Present Absent
"Salix suchowensis" 2 4 297 0 1488224 Present Absent
"Coptis chinensis" 1 2 189 0 25612496 Present Absent
"Fusarium poae" 1 0 Inf 0 515057 Absent Absent
"Saccharomycodes ludwigii" 2 0 Inf 0 Inf Absent Absent
"Ceratodon purpureus" 7 14 0 0 Inf Present Absent
"Centaurea solstitialis" 1 2 270 0 35913398 Present Absent
