Organism MutS Tudor_domain Tudor_dist PWWP_domain PWWP_dist Tudor_call PWWP_call
"Zymoseptoria tritici IPO323" 2 0 Inf 0 301996 Absent Absent
"Ogataea parapolymorpha DL-1" 2 0 71306 0 Inf Absent Absent
"Tetrapisispora phaffii CBS 4417" 4 0 Inf 0 Inf Absent Absent
"Rattus norvegicus" 5 0 Inf 10 0 Absent Present
"Oryza sativa Japonica Group" 4 8 192 0 11020222 Present Absent
"Sus scrofa" 2 0 Inf 4 0 Absent Present
"Bos taurus" 6 0 Inf 12 0 Absent Present
"Gallus gallus" 6 0 8112494 12 0 Absent Present
"Zea mays" 17 26 0 0 37948825 Present Absent
"Solanum lycopersicum" 1 2 291 0 3248802 Present Absent
"Canis lupus familiaris" 4 0 Inf 8 11397 Absent Present
"Canis lupus dingo" 3 0 Inf 6 0 Absent Present
"Macaca mulatta" 3 0 Inf 6 24 Absent Present
"Glycine max" 12 18 0 0 1380273 Present Absent
"Ovis aries" 2 0 Inf 4 10412 Absent Present
"Vitis vinifera" 4 8 294 0 2296038 Present Absent
"Gossypium hirsutum" 9 14 0 0 Inf Present Absent
"Gossypium arboreum" 1 2 297 0 Inf Present Absent
"Panicum virgatum" 9 16 0 0 8292533 Present Absent
"Fundulus heteroclitus" 2 0 Inf 4 0 Absent Present
"Larimichthys crocea" 2 0 13994899 4 0 Absent Present
"Sesamum indicum" 1 2 405 0 985595 Present Absent
"Coffea arabica" 2 4 9765 0 43918248 Present Absent
"Gadus morhua" 1 0 3924730 2 8264 Absent Present
"Anguilla anguilla" 1 0 Inf 2 9390 Absent Present
"Rattus rattus" 1 0 Inf 2 10448 Absent Present
"Salvia miltiorrhiza" 1 2 7216 0 22741887 Present Absent
"Penaeus monodon" 1 0 Inf 2 2755 Absent Present
"Fragaria vesca subsp. vesca" 1 2 7042 0 8144896 Present Absent
"Monodelphis domestica" 2 0 Inf 4 14049 Absent Present
"Procambarus clarkii" 1 0 Inf 2 1036 Absent Present
"Papio anubis" 4 0 Inf 8 0 Absent Present
"Vigna unguiculata" 2 4 8049 0 2704695 Present Absent
"Giardia intestinalis" 3 0 2096460 0 288066 Absent Absent
"Ictalurus punctatus" 1 0 Inf 2 1052 Absent Present
"Nasonia vitripennis" 2 0 Inf 0 2557957 Absent Absent
"Punica granatum" 3 6 288 0 1935533 Present Absent
"Tachysurus fulvidraco" 2 0 Inf 4 0 Absent Present
"Theobroma cacao" 1 2 8016 0 1830076 Present Absent
"Penicillium oxalicum" 2 0 538381 0 1779011 Absent Absent
"Cajanus cajan" 2 4 8692 0 Inf Present Absent
"Vigna radiata var. radiata" 1 2 8219 0 2601675 Present Absent
"Anopheles stephensi" 1 0 Inf 0 1962191 Absent Absent
"Portunus trituberculatus" 3 0 Inf 2 12795 Absent Present
"Rhipicephalus microplus" 1 0 Inf 2 7596 Absent Present
"Acropora millepora" 4 0 Inf 8 0 Absent Present
"Ananas comosus" 2 4 7976 0 1796434 Present Absent
"Ricinus communis" 2 4 309 0 1742200 Present Absent
"Bombus terrestris" 2 0 Inf 0 Inf Absent Absent
"Juglans regia" 2 4 8366 0 Inf Present Absent
"Phoenix dactylifera" 2 0 Inf 0 11816113 Absent Absent
"Eucalyptus grandis" 2 4 9835 0 10532915 Present Absent
"Meleagris gallopavo" 1 0 8166642 2 10073 Absent Present
"Cynoglossus semilaevis" 1 0 Inf 2 1204 Absent Present
"Aegilops tauschii subsp. strangulata" 1 2 360 0 30720132 Present Absent
"Rosa chinensis" 2 4 7629 0 22472776 Present Absent
"Setaria viridis" 2 4 321 0 16862765 Present Absent
"Aphis gossypii" 4 0 Inf 0 1829649 Absent Absent
"Drosophila pseudoobscura" 1 0 Inf 0 2264312 Absent Absent
"Thalassiosira pseudonana CCMP1335" 2 0 738970 0 Inf Absent Absent
"Astyanax mexicanus" 3 0 Inf 6 1937 Absent Present
"Spinacia oleracea" 2 4 345 0 22235822 Present Absent
"Solenopsis invicta" 1 0 Inf 0 2435334 Absent Absent
"Ictidomys tridecemlineatus" 4 0 Inf 8 0 Absent Present
"Camelina sativa" 4 6 0 0 4675677 Present Absent
"Oryzias melastigma" 3 0 5648805 6 0 Absent Present
"Equus asinus" 2 0 Inf 4 0 Absent Present
"Leishmania infantum JPCM5" 2 0 684294 0 400260 Absent Absent
"Biomphalaria glabrata" 3 0 Inf 6 1850 Absent Present
